Gia_Thuc_Te,Du_Doan_Lasso,Du_Doan_Poly_Ridge,Chenh_Lech_Lasso
319000.0,254644.42733021174,253906.05838054937,-64355.572669788264
148500.0,93922.61962974841,163750.09241907403,-54577.38037025159
233100.0,269367.3171161234,257784.8393950371,36267.31711612339
460000.0,230074.3591500529,253728.38249986476,-229925.6408499471
55300.0,33208.166577619675,58284.898969203015,-22091.833422380325
310500.0,241867.38672315725,238936.8667328825,-68632.61327684275
188600.0,211455.11161379135,198927.7296836726,22855.11161379135
286500.0,285530.42603694974,264641.8887522595,-969.5739630502649
431600.0,376102.455330589,387565.999955614,-55497.54466941103
261100.0,244904.90412459188,241743.48951997815,-16195.095875408122
180000.0,142455.68622829427,127637.91547378985,-37544.313771705725
171300.0,242596.6636540916,245710.3990309954,71296.6636540916
156800.0,57564.8772284782,155562.23679796746,-99235.1227715218
177500.0,243453.27595444024,208509.81823775556,65953.27595444024
168900.0,187535.7675496849,181156.44718187742,18635.76754968491
138800.0,142721.81643001188,107479.33965645215,3921.8164300118806
70100.0,98124.33509068425,85721.36109529254,28024.335090684253
67800.0,51749.92546851322,90297.98562092512,-16050.074531486782
92600.0,149607.2540448259,126381.05590215008,57007.25404482591
101000.0,135868.6653514274,113082.68833886995,34868.66535142739
318200.0,317776.0754940723,308167.7795261075,-423.9245059277164
149900.0,218711.07711782464,207612.81773486527,68811.07711782464
123200.0,164217.5730532137,134076.67068636528,41017.57305321371
80200.0,47811.25004748805,83067.11422087585,-32388.74995251195
175800.0,238740.24030838665,218330.63758752056,62940.24030838665
225000.0,228340.99657606607,294230.0368507205,3340.9965760660707
155000.0,25403.659368697787,83453.92679994651,-129596.34063130221
90600.0,158821.99542771955,141219.3456584906,68221.99542771955
246100.0,225471.23592307954,214652.76933745743,-20628.76407692046
150600.0,209536.56677955677,176358.76807551648,58936.56677955677
412500.0,220023.8406443753,248316.0235912997,-192476.1593556247
394900.0,381683.60133989813,393559.8301492954,-13216.39866010187
356500.0,251189.56400980515,255817.94119081844,-105310.43599019485
118500.0,156500.3806533189,135710.04768213612,38000.38065331889
119800.0,109785.22037579124,92979.37433417363,-10014.779624208764
235500.0,238144.49567337433,246605.13155875824,2644.495673374331
351600.0,308147.2263590779,325797.2849430108,-43452.773640922096
261100.0,291549.99347945594,295086.29615979665,30449.993479455938
168100.0,197440.72927293277,175688.96809623437,29340.729272932775
340500.0,266897.2362808448,324010.8987472183,-73602.76371915522
204600.0,192629.03021787753,164256.7727281423,-11970.969782122469
308500.0,255792.00877176976,291446.3141870975,-52707.99122823024
328900.0,270300.1584029739,287592.22299683874,-58599.8415970261
94600.0,153314.1520397627,111162.38146113785,58714.1520397627
55000.0,194127.13277345488,213529.60220922605,139127.13277345488
291300.0,341556.49085259944,348012.6210433835,50256.49085259944
96600.0,232748.87729617395,219583.0673657889,136148.87729617395
218000.0,224367.9281102082,197995.01968647708,6367.928110208188
194000.0,172923.90526489803,164657.66356728083,-21076.09473510197
196700.0,201465.62202475953,229196.2860645397,4765.622024759534
227100.0,177313.00902259487,182625.4624899436,-49786.990977405134
157700.0,208510.2565464626,187578.73535041328,50810.256546462595
27500.0,12739.420057702548,55462.34117676763,-14760.579942297452
221200.0,249840.49494920037,265950.0995336026,28640.494949200365
133400.0,172016.20789360726,142278.55954882465,38616.207893607265
156300.0,150069.8109306916,92296.846448092,-6230.189069308399
325000.0,187620.8565126144,169582.29429618185,-137379.1434873856
256300.0,233719.9419199429,251600.32986747677,-22580.05808005709
124600.0,128619.94823375315,112718.87394637268,4019.9482337531517
158200.0,172328.57966653234,185108.59357417462,14128.579666532343
